,date,info,totalPayment,category,source
97,2021-03-25,House rental 2021.03,121000.0,Housing,Bank
98,2021-03-26,Kindergarten Puppy,77000.0,Kids,Bank
105,2021-03-31,Meo 2021.03,10000.0,Allowance,Bank
106,2021-03-06,Fee Card,107.0,Utilities,Bank
114,2021-03-15,Insurance (Vit),2000.0,Insurances,Bank
117,2021-03-31,Pocket Money,20000.0,Allowance,Bank
120,2021-03-23,Print documents (claim),240.0,Household Supplies,Bank
123,2021-03-02,Lopia,6955.0,Groceries,Cash
125,2021-03-06,Lopia,9550.0,Groceries,Cash
126,2021-03-09,Lopia,3522.0,Groceries,Cash
127,2021-03-08,Lopia,2303.0,Groceries,Cash
128,2021-03-11,Lopia,2925.0,Groceries,Cash
129,2021-03-14,Ramen,2530.0,Eating Out,Cash
130,2021-03-14,Lopia,3098.0,Groceries,Cash
131,2021-03-20,Lopia,4280.0,Groceries,Cash
132,2021-03-23,Nancy stocks,319.0,Kids,Cash
133,2021-03-29,Lopia,2798.0,Groceries,Cash
134,2021-03-31,Japanese Lesson,24000.0,Education,Cash
139,2021-03-14,To Sieu,1480.0,Groceries,Paypay
140,2021-03-01,"Electric, Gas",11533.0,Utilities,Paypay
141,2021-03-01,To Sieu (probably food/eating out),900.0,Groceries,Paypay
142,2021-03-15,To Sieu (probably food/eating out),900.0,Groceries,Paypay
